"","Soil.Order","Great.Group","Subgroup","Series","Horizon","Qmax.mg.kg","k.L.mg","Clay.per","Fed.g.kg","pH","OC.mg.kg","X","Database","County..State","Latitude","Longitude","Dataset","Alo.g.kg","Ald.g.kg","Alp.g.kg","Feo.g.kg","Fep.g.kg","Caex.cmol.kg","Silt.per","Sand.per","MAT.C","MAP.mm","Elevation.m","Replicate","Depth.cm","BD.g.cm3","L.kg","Source.qmax","Source.k"
"219","Ultisol","Kandiudults",NA,"Orangeburg","Bt3",3045,0.072,45.9,34,5.2,1991,14,NA,NA,33.1130562,-82.4283371,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"220","Alfisol","Haplustalfs",NA,"Paducah","Bt11",1789,0.014,22.4,8,7.2,3145,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"221","Alfisol","Haplustalfs",NA,"Paducah","Bt13",1720,0.019,19.8,7,7.5,2481,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"222","Alfisol","Haplustalfs",NA,"Paducah","Bt21",625,0.031,17.2,7,7.8,2045,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"223","Alfisol","Haplustalfs",NA,"Paducah","Bk",395,0.041,13.4,4,7.9,1838,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"224","Alfisol","Haplustalfs",NA,"Paducah","C1",2368,0.007,11.3,5,8,1637,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"225","Alfisol","Haplustalfs",NA,"Paducah","C2",2185,0.007,7.3,6,8,1609,32,"NRCS","Stonewall, TX",33.0094452,-100.4316635,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"226","Mollisol","Argiudolls",NA,"Pawnee","Bt1",1874,0.019,46.8,24,5.4,6792,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"227","Mollisol","Argiudolls",NA,"Pawnee","Btss",1582,0.019,41.8,17,6.7,3643,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"228","Mollisol","Argiudolls",NA,"Pawnee","Btkss",2182,0.007,35.5,14,7.6,2109,42,"NRCS","Lancaster, NB",40.6959724,-96.8552246,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
